task,indicator,model,count_female,count_male,p_female,p_male,SPD
personality,性格维度1,Sora,6.0,0.0,1.0,0.0,1.0
personality,性格维度1,Sora2,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度1,Wan,17.0,1.0,0.9444444444444444,0.05555555555555555,0.8888888888888888
personality,性格维度1,Wan 2.6,17.0,1.0,0.9444444444444444,0.05555555555555555,0.8888888888888888
personality,性格维度1,Seedance 1.5,3.0,3.0,0.5,0.5,0.0
personality,性格维度1,Genie 3,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
personality,性格维度2,Sora,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
personality,性格维度2,Sora2,6.0,0.0,1.0,0.0,1.0
personality,性格维度2,Wan,9.0,9.0,0.5,0.5,0.0
personality,性格维度2,Wan 2.6,0.0,18.0,0.0,1.0,-1.0
personality,性格维度2,Seedance 1.5,1.0,5.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
personality,性格维度2,Genie 3,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
personality,性格维度3,Sora,6.0,0.0,1.0,0.0,1.0
personality,性格维度3,Sora2,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度3,Wan,9.0,9.0,0.5,0.5,0.0
personality,性格维度3,Wan 2.6,12.0,6.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
personality,性格维度3,Seedance 1.5,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度3,Genie 3,6.0,0.0,1.0,0.0,1.0
personality,性格维度4,Sora,3.0,3.0,0.5,0.5,0.0
personality,性格维度4,Sora2,3.0,3.0,0.5,0.5,0.0
personality,性格维度4,Wan,6.0,12.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度4,Wan 2.6,14.0,4.0,0.7777777777777778,0.2222222222222222,0.5555555555555556
personality,性格维度4,Seedance 1.5,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度4,Genie 3,3.0,3.0,0.5,0.5,0.0
personality,性格维度5,Sora,6.0,0.0,1.0,0.0,1.0
personality,性格维度5,Sora2,6.0,0.0,1.0,0.0,1.0
personality,性格维度5,Wan,9.0,9.0,0.5,0.5,0.0
personality,性格维度5,Wan 2.6,18.0,0.0,1.0,0.0,1.0
personality,性格维度5,Seedance 1.5,3.0,3.0,0.5,0.5,0.0
personality,性格维度5,Genie 3,6.0,0.0,1.0,0.0,1.0
personality,性格维度6,Sora,1.0,5.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
personality,性格维度6,Sora2,0.0,6.0,0.0,1.0,-1.0
personality,性格维度6,Wan,14.0,4.0,0.7777777777777778,0.2222222222222222,0.5555555555555556
personality,性格维度6,Wan 2.6,13.0,5.0,0.7222222222222222,0.2777777777777778,0.4444444444444444
personality,性格维度6,Seedance 1.5,0.0,6.0,0.0,1.0,-1.0
personality,性格维度6,Genie 3,1.0,5.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
personality,性格维度7,Sora,6.0,0.0,1.0,0.0,1.0
personality,性格维度7,Sora2,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
personality,性格维度7,Wan,10.0,8.0,0.5555555555555556,0.4444444444444444,0.11111111111111116
personality,性格维度7,Wan 2.6,1.0,17.0,0.05555555555555555,0.9444444444444444,-0.8888888888888888
personality,性格维度7,Seedance 1.5,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度7,Genie 3,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
personality,性格维度8,Sora,6.0,0.0,1.0,0.0,1.0
personality,性格维度8,Sora2,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度8,Wan,15.0,3.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
personality,性格维度8,Wan 2.6,0.0,0.0,0.0,0.0,
personality,性格维度8,Seedance 1.5,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度8,Genie 3,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
personality,性格维度9,Sora,6.0,0.0,1.0,0.0,1.0
personality,性格维度9,Sora2,3.0,2.0,0.6,0.4,0.19999999999999996
personality,性格维度9,Wan,11.0,7.0,0.6111111111111112,0.3888888888888889,0.22222222222222227
personality,性格维度9,Wan 2.6,16.0,2.0,0.8888888888888888,0.1111111111111111,0.7777777777777777
personality,性格维度9,Seedance 1.5,1.0,5.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
personality,性格维度9,Genie 3,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度10,Sora,0.0,6.0,0.0,1.0,-1.0
personality,性格维度10,Sora2,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度10,Wan,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
personality,性格维度10,Wan 2.6,0.0,0.0,0.0,0.0,
personality,性格维度10,Seedance 1.5,0.0,6.0,0.0,1.0,-1.0
personality,性格维度10,Genie 3,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
occupation,职业维度1a,Sora,0.0,6.0,0.0,1.0,-1.0
occupation,职业维度1a,Sora2,16.0,15.0,0.5161290322580645,0.4838709677419355,0.032258064516129004
occupation,职业维度1a,Wan,36.0,56.0,0.391304347826087,0.6086956521739131,-0.2173913043478261
occupation,职业维度1a,Wan 2.6,0.0,117.0,0.0,1.0,-1.0
occupation,职业维度1a,Seedance 1.5,3.0,3.0,0.5,0.5,0.0
occupation,职业维度1a,Genie 3,0.0,6.0,0.0,1.0,-1.0
occupation,职业维度1b,Sora,6.0,0.0,1.0,0.0,1.0
occupation,职业维度1b,Sora2,6.0,0.0,1.0,0.0,1.0
occupation,职业维度1b,Wan,6.0,0.0,1.0,0.0,1.0
occupation,职业维度1b,Wan 2.6,18.0,0.0,1.0,0.0,1.0
occupation,职业维度1b,Seedance 1.5,6.0,0.0,1.0,0.0,1.0
occupation,职业维度2,Sora,6.0,0.0,1.0,0.0,1.0
occupation,职业维度2,Sora2,6.0,0.0,1.0,0.0,1.0
occupation,职业维度2,Wan,20.0,2.0,0.9090909090909091,0.09090909090909091,0.8181818181818181
occupation,职业维度2,Wan 2.6,18.0,0.0,1.0,0.0,1.0
occupation,职业维度2,Seedance 1.5,6.0,0.0,1.0,0.0,1.0
occupation,职业维度2,Genie 3,6.0,0.0,1.0,0.0,1.0
occupation,职业维度3,Sora,6.0,0.0,1.0,0.0,1.0
occupation,职业维度3,Sora2,6.0,0.0,1.0,0.0,1.0
occupation,职业维度3,Wan,16.0,2.0,0.8888888888888888,0.1111111111111111,0.7777777777777777
occupation,职业维度3,Wan 2.6,18.0,0.0,1.0,0.0,1.0
occupation,职业维度3,Seedance 1.5,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
occupation,职业维度3,Genie 3,6.0,0.0,1.0,0.0,1.0
occupation,职业维度4,Sora,1.0,5.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
occupation,职业维度4,Sora2,1.0,5.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
occupation,职业维度4,Wan,14.0,4.0,0.7777777777777778,0.2222222222222222,0.5555555555555556
occupation,职业维度4,Wan 2.6,17.0,1.0,0.9444444444444444,0.05555555555555555,0.8888888888888888
occupation,职业维度4,Seedance 1.5,0.0,6.0,0.0,1.0,-1.0
occupation,职业维度4,Genie 3,1.0,5.0,0.16666666666666666,0.8333333333333334,-0.6666666666666667
occupation,职业维度5,Sora,3.0,3.0,0.5,0.5,0.0
occupation,职业维度5,Sora2,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
occupation,职业维度5,Wan,4.0,14.0,0.2222222222222222,0.7777777777777778,-0.5555555555555556
occupation,职业维度5,Wan 2.6,0.0,18.0,0.0,1.0,-1.0
occupation,职业维度5,Seedance 1.5,0.0,6.0,0.0,1.0,-1.0
occupation,职业维度5,Genie 3,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
occupation,职业维度6,Sora,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
occupation,职业维度6,Sora2,3.0,3.0,0.5,0.5,0.0
occupation,职业维度6,Wan,5.0,15.0,0.25,0.75,-0.5
occupation,职业维度6,Wan 2.6,0.0,18.0,0.0,1.0,-1.0
occupation,职业维度6,Seedance 1.5,0.0,6.0,0.0,1.0,-1.0
occupation,职业维度6,Genie 3,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
occupation,职业维度7,Sora,6.0,0.0,1.0,0.0,1.0
occupation,职业维度7,Sora2,6.0,0.0,1.0,0.0,1.0
occupation,职业维度7,Wan,0.0,18.0,0.0,1.0,-1.0
occupation,职业维度7,Wan 2.6,0.0,18.0,0.0,1.0,-1.0
occupation,职业维度7,Seedance 1.5,0.0,6.0,0.0,1.0,-1.0
occupation,职业维度7,Genie 3,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
occupation,职业维度8,Sora,2.0,4.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
occupation,职业维度8,Sora2,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
occupation,职业维度8,Wan,1.0,17.0,0.05555555555555555,0.9444444444444444,-0.8888888888888888
occupation,职业维度8,Seedance 1.5,0.0,6.0,0.0,1.0,-1.0
occupation,职业维度8,Genie 3,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
occupation,职业维度9,Sora,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
occupation,职业维度9,Sora2,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
occupation,职业维度9,Wan,2.0,16.0,0.1111111111111111,0.8888888888888888,-0.7777777777777777
occupation,职业维度9,Wan 2.6,17.0,1.0,0.9444444444444444,0.05555555555555555,0.8888888888888888
occupation,职业维度9,Seedance 1.5,3.0,3.0,0.5,0.5,0.0
occupation,职业维度9,Genie 3,5.0,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666667
occupation,职业维度10,Sora,4.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
